,qb1a,qb2,qb5,qb4_3,qb4_5,qb7,qb8,qb9,d1,d10,d11,country,d25,d8,d63,d7
206,Climate change,9.0,Yes,2,4,2,2,2,centro,Woman,32,BE - Belgium,Rural area or village,25,The lower middle class of society,single
207,Climate change,10.0,Yes,2,2,1,1,1,centro,Man,64,BE - Belgium,Small or middle sized town,22,The middle class of society,con patner
208,The economic situation,5.0,No,2,2,1,2,2,sx,Man,40,BE - Belgium,Rural area or village,18,The working class of society,single
209,Climate change,8.0,No,2,2,1,1,1,centro-sx,Man,47,BE - Belgium,Rural area or village,19,The lower middle class of society,single
210,The increasing global population,7.0,No,3,3,1,2,2,centro,Man,42,BE - Belgium,Rural area or village,21,The middle class of society,con patner e figli
211,Climate change,9.0,No,2,2,1,1,1,centro,Man,88,BE - Belgium,Rural area or village,14,The middle class of society,single
212,Climate change,10.0,No,2,1,1,2,3,centro,Woman,65,BE - Belgium,Rural area or village,18,The lower middle class of society,con patner
213,Spread of infectious diseases,7.0,No,1,2,2,2,3,centro-sx,Woman,27,BE - Belgium,Rural area or village,18,The working class of society,single
214,"Poverty, hunger and lack of drinking water",8.0,No,2,2,1,1,2,centro,Woman,89,BE - Belgium,Rural area or village,18,The working class of society,single
215,International terrorism,10.0,Yes,2,1,1,1,1,centro-dx,Woman,65,BE - Belgium,Rural area or village,14,The middle class of society,single
216,The increasing global population,10.0,Yes,2,2,1,1,1,centro,Man,85,BE - Belgium,Rural area or village,25,The middle class of society,con patner
217,Climate change,10.0,No,2,2,1,1,3,centro,Man,62,BE - Belgium,Rural area or village,17,The lower middle class of society,con patner
218,Climate change,10.0,Yes,1,2,1,1,2,centro,Woman,39,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner
219,The increasing global population,10.0,Yes,2,2,1,1,2,centro,Man,54,BE - Belgium,Small or middle sized town,23,The middle class of society,con patner e figli
220,Climate change,10.0,Yes,2,2,1,1,1,centro-dx,Man,72,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner
221,Climate change,10.0,No,1,1,1,1,1,centro,Man,70,BE - Belgium,Small or middle sized town,20,The lower middle class of society,single
222,Climate change,10.0,No,2,2,1,1,2,centro,Man,36,BE - Belgium,Small or middle sized town,23,The middle class of society,con patner e figli
223,Climate change,10.0,Yes,1,1,1,1,1,centro,Woman,32,BE - Belgium,Large town,23,The lower middle class of society,single
224,The increasing global population,7.0,No,1,2,2,2,2,centro-sx,Woman,64,BE - Belgium,Rural area or village,17,The lower middle class of society,con patner
225,The increasing global population,10.0,Yes,1,4,1,1,1,sx,Woman,57,BE - Belgium,Rural area or village,22,The middle class of society,con patner
226,Climate change,10.0,Yes,1,4,1,1,1,sx,Woman,32,BE - Belgium,Large town,25,The middle class of society,single con figli
227,The increasing global population,8.0,No,2,2,2,2,2,centro,Woman,44,BE - Belgium,Large town,18,The middle class of society,con patner e figli
228,International terrorism,6.0,No,2,2,2,2,2,centro-sx,Man,27,BE - Belgium,Large town,22,The middle class of society,con patner
229,International terrorism,5.0,No,3,2,2,2,2,centro,Woman,49,BE - Belgium,Small or middle sized town,19,The middle class of society,con patner e figli
230,"Poverty, hunger and lack of drinking water",7.0,No,1,1,2,2,1,centro,Woman,57,BE - Belgium,Small or middle sized town,18,The working class of society,single
231,"Poverty, hunger and lack of drinking water",10.0,Yes,1,1,1,1,1,sx,Woman,42,BE - Belgium,Large town,22,The middle class of society,con patner e figli
232,Climate change,10.0,Yes,2,2,1,1,1,centro-dx,Man,64,BE - Belgium,Large town,18,The lower middle class of society,con patner
233,The increasing global population,5.0,No,3,3,4,4,4,dx,Woman,54,BE - Belgium,Small or middle sized town,21,The working class of society,con patner
234,"Poverty, hunger and lack of drinking water",6.0,Yes,2,2,1,2,1,centro,Woman,70,BE - Belgium,Rural area or village,18,The middle class of society,con patner
235,Armed conflicts,9.0,Yes,2,3,1,3,1,sx,Man,25,BE - Belgium,Rural area or village,dk,The middle class of society,con patner
236,International terrorism,10.0,Yes,2,2,1,1,1,centro,Woman,25,BE - Belgium,Small or middle sized town,23,The middle class of society,con patner
237,International terrorism,8.0,No,2,3,2,2,2,centro,Man,62,BE - Belgium,Rural area or village,28,The middle class of society,con patner
238,International terrorism,9.0,Yes,2,1,1,1,1,centro,Man,59,BE - Belgium,Rural area or village,18,The working class of society,con patner
239,"Poverty, hunger and lack of drinking water",9.0,No,2,2,2,4,2,centro,Woman,68,BE - Belgium,Rural area or village,21,The middle class of society,con patner
240,"Poverty, hunger and lack of drinking water",6.0,Yes,2,2,3,2,2,centro,Woman,72,BE - Belgium,Rural area or village,14,The middle class of society,con patner
241,"Poverty, hunger and lack of drinking water",7.0,No,2,2,1,1,2,centro-sx,Woman,54,BE - Belgium,Rural area or village,17,The working class of society,single
242,International terrorism,5.0,Yes,3,1,2,2,2,centro-dx,Man,67,BE - Belgium,Rural area or village,20,The middle class of society,con patner e figli
243,Climate change,8.0,No,2,1,1,1,1,centro,Man,68,BE - Belgium,Rural area or village,17,The working class of society,single
244,Climate change,9.0,Yes,1,2,1,1,1,centro,Woman,47,BE - Belgium,Rural area or village,20,The middle class of society,con patner
245,Climate change,7.0,No,2,1,1,4,1,centro-dx,Man,34,BE - Belgium,Rural area or village,19,The working class of society,con patner
246,"Poverty, hunger and lack of drinking water",8.0,Yes,2,2,2,2,1,centro,Man,67,BE - Belgium,Rural area or village,16,The working class of society,single
247,"Poverty, hunger and lack of drinking water",7.0,No,2,2,2,2,1,centro-sx,Man,70,BE - Belgium,Rural area or village,17,The middle class of society,con patner
248,International terrorism,8.0,Yes,1,1,1,1,1,centro,Man,84,BE - Belgium,Rural area or village,22,The upper middle class of society,con patner
249,Climate change,10.0,No,3,2,1,2,3,centro-sx,Woman,65,BE - Belgium,Rural area or village,16,The lower middle class of society,con patner e figli
250,Climate change,10.0,Yes,2,1,1,2,2,centro-dx,Woman,88,BE - Belgium,Rural area or village,21,The middle class of society,con patner
251,Armed conflicts,8.0,Yes,2,2,1,1,2,centro-sx,Man,67,BE - Belgium,Rural area or village,22,The middle class of society,single
252,Armed conflicts,7.0,No,2,2,2,2,2,centro-sx,Man,63,BE - Belgium,Rural area or village,18,The lower middle class of society,single con figli
253,Climate change,9.0,Yes,2,2,1,2,1,centro,Woman,73,BE - Belgium,Rural area or village,20,The middle class of society,single
254,The economic situation,6.0,Yes,2,2,2,2,2,centro-dx,Woman,56,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner
255,Climate change,6.0,Yes,3,2,2,2,3,centro-dx,Woman,71,BE - Belgium,Large town,16,The middle class of society,single
256,Climate change,7.0,No,2,3,2,2,2,centro-dx,Man,39,BE - Belgium,Small or middle sized town,22,The middle class of society,con patner e figli
257,Climate change,7.0,No,1,2,2,2,2,centro,Man,45,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner e figli
258,Climate change,7.0,Yes,2,1,2,2,1,centro,Man,19,BE - Belgium,Small or middle sized town,0,The middle class of society,con patner e figli
259,International terrorism,7.0,Yes,2,3,2,1,2,centro-sx,Woman,39,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner e figli
260,Armed conflicts,7.0,Yes,1,2,3,3,3,centro-dx,Woman,39,BE - Belgium,Small or middle sized town,2,The middle class of society,con patner e figli
261,The economic situation,6.0,Yes,3,2,2,2,2,centro-dx,Man,20,BE - Belgium,Small or middle sized town,0,The middle class of society,con patner e figli
262,The economic situation,7.0,No,1,1,2,2,2,centro-dx,Woman,51,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner
263,Climate change,6.0,No,2,2,2,3,2,centro-dx,Man,21,BE - Belgium,Small or middle sized town,0,The middle class of society,con patner e figli
264,International terrorism,3.0,No,2,3,2,2,2,sx,Man,45,BE - Belgium,Small or middle sized town,45,The lower middle class of society,con patner e figli
265,The increasing global population,7.0,Yes,1,1,2,2,2,centro,Man,67,BE - Belgium,Small or middle sized town,17,The middle class of society,single
266,International terrorism,6.0,No,1,1,2,1,1,centro,Woman,67,BE - Belgium,Rural area or village,18,The middle class of society,con patner
267,International terrorism,10.0,Yes,2,2,2,2,2,centro-dx,Man,62,BE - Belgium,Rural area or village,19,The middle class of society,con patner
268,"Poverty, hunger and lack of drinking water",3.0,No,3,4,2,2,2,centro,Man,47,BE - Belgium,Rural area or village,21,The middle class of society,con patner e figli
269,"Poverty, hunger and lack of drinking water",7.0,Yes,2,2,1,1,2,centro-sx,Woman,31,BE - Belgium,Rural area or village,22,The middle class of society,con patner
270,The economic situation,5.0,Yes,3,2,1,2,3,centro,Man,30,BE - Belgium,Small or middle sized town,18,The working class of society,Other (SPONT.)
271,The increasing global population,5.0,Yes,1,2,1,2,1,centro,Man,53,BE - Belgium,Rural area or village,21,The middle class of society,con patner
272,The increasing global population,6.0,Yes,3,3,1,1,2,centro,Woman,54,BE - Belgium,Small or middle sized town,17,The lower middle class of society,con patner
273,Climate change,7.0,No,3,3,2,1,2,non-posizionabile,Man,16,BE - Belgium,Rural area or village,0,The middle class of society,Other (SPONT.)
274,"Poverty, hunger and lack of drinking water",7.0,Yes,3,4,2,3,2,centro,Man,33,BE - Belgium,Rural area or village,19,The lower middle class of society,con patner e figli
275,Climate change,10.0,Yes,1,3,1,1,2,centro-sx,Man,57,BE - Belgium,Rural area or village,19,The middle class of society,con patner
276,"Poverty, hunger and lack of drinking water",5.0,Yes,1,1,2,1,2,centro,Woman,54,BE - Belgium,Rural area or village,14,The middle class of society,con patner
277,"Poverty, hunger and lack of drinking water",8.0,Yes,2,1,1,1,1,centro,Woman,19,BE - Belgium,Rural area or village,0,The middle class of society,con patner
278,The increasing global population,9.0,No,2,2,1,2,2,centro-dx,Man,71,BE - Belgium,Rural area or village,23,The upper middle class of society,con patner
279,International terrorism,5.0,Yes,2,2,2,3,2,centro,Woman,60,BE - Belgium,Rural area or village,18,The middle class of society,con patner
280,Climate change,8.0,Yes,1,4,1,1,1,centro-sx,Man,29,BE - Belgium,Rural area or village,22,The middle class of society,con patner e figli
281,"Poverty, hunger and lack of drinking water",6.0,No,1,1,2,2,2,dx,Woman,72,BE - Belgium,Rural area or village,19,The middle class of society,con patner
282,International terrorism,7.0,Yes,4,4,2,3,2,centro-dx,Man,66,BE - Belgium,Rural area or village,18,The working class of society,con patner
283,Climate change,9.0,Yes,3,2,2,2,1,centro-dx,Man,52,BE - Belgium,Small or middle sized town,22,The middle class of society,con patner
284,Climate change,10.0,Yes,1,1,1,1,1,centro-sx,Woman,49,BE - Belgium,Large town,23,The middle class of society,con patner e figli
285,Climate change,10.0,Yes,1,2,1,2,1,sx,Man,28,BE - Belgium,Large town,0,The lower middle class of society,single
286,The increasing global population,9.0,No,2,2,1,3,2,centro,Woman,62,BE - Belgium,Large town,18,The middle class of society,single
287,Climate change,10.0,No,2,2,1,2,1,dx,Man,68,BE - Belgium,Large town,15,The working class of society,con patner
288,Climate change,7.0,Yes,2,3,2,2,2,centro,Man,67,BE - Belgium,Small or middle sized town,18,The middle class of society,single
289,"Poverty, hunger and lack of drinking water",8.0,No,2,2,2,2,2,centro,Woman,39,BE - Belgium,Small or middle sized town,19,The middle class of society,con patner e figli
290,"Poverty, hunger and lack of drinking water",7.0,No,2,1,2,2,2,centro,Man,54,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner e figli
291,The economic situation,8.0,Yes,1,2,1,2,3,centro,Woman,45,BE - Belgium,Small or middle sized town,20,The middle class of society,con patner e figli
292,Armed conflicts,7.0,Yes,2,2,2,2,2,centro-dx,Man,22,BE - Belgium,Small or middle sized town,0,The lower middle class of society,con patner e figli
293,The economic situation,7.0,No,1,2,1,1,1,centro-dx,Man,25,BE - Belgium,Small or middle sized town,22,The middle class of society,con patner e figli
294,The increasing global population,8.0,No,3,2,1,1,1,centro-dx,Man,46,BE - Belgium,Small or middle sized town,20,The middle class of society,con patner e figli
295,Spread of infectious diseases,6.0,Yes,3,1,2,3,2,centro-sx,Woman,67,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner
296,The increasing global population,5.0,Yes,3,2,1,1,1,centro-sx,Woman,52,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner e figli
297,Proliferation of nuclear weapons,7.0,No,3,4,3,2,2,centro-dx,Woman,22,BE - Belgium,Small or middle sized town,0,The middle class of society,con patner e figli
298,The increasing global population,6.0,No,3,3,2,2,2,centro,Woman,35,BE - Belgium,Small or middle sized town,19,The middle class of society,con patner e figli
299,The increasing global population,6.0,Yes,1,2,2,2,2,centro-dx,Woman,19,BE - Belgium,Small or middle sized town,0,The middle class of society,con patner e figli
300,The increasing global population,7.0,No,4,2,2,2,2,centro-dx,Man,43,BE - Belgium,Small or middle sized town,19,The middle class of society,con patner e figli
301,International terrorism,4.0,Yes,2,3,2,2,2,centro-dx,Man,21,BE - Belgium,Small or middle sized town,0,The middle class of society,con patner e figli
302,"Poverty, hunger and lack of drinking water",8.0,Yes,2,1,1,1,1,centro-dx,Woman,56,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner
303,International terrorism,8.0,Yes,1,2,1,1,2,centro-dx,Man,35,BE - Belgium,Small or middle sized town,21,The middle class of society,con patner e figli
304,Spread of infectious diseases,7.0,Yes,1,1,2,2,1,centro-dx,Man,18,BE - Belgium,Small or middle sized town,0,The lower middle class of society,con patner e figli
305,"Poverty, hunger and lack of drinking water",6.0,No,1,2,1,2,2,centro,Woman,67,BE - Belgium,Small or middle sized town,17,The middle class of society,single
306,"Poverty, hunger and lack of drinking water",6.0,No,1,2,3,3,2,centro-dx,Woman,38,BE - Belgium,Small or middle sized town,18,The lower middle class of society,con patner e figli
307,International terrorism,7.0,Yes,2,3,2,2,2,centro,Woman,65,BE - Belgium,Small or middle sized town,18,The lower middle class of society,con patner
308,Climate change,10.0,Yes,1,2,1,2,1,centro,Man,36,BE - Belgium,Small or middle sized town,20,The upper middle class of society,con patner e figli
309,Climate change,9.0,Yes,1,1,2,2,3,centro-sx,Woman,24,BE - Belgium,Small or middle sized town,22,The lower middle class of society,con patner
310,"Poverty, hunger and lack of drinking water",6.0,Yes,2,2,3,3,2,centro-dx,Man,50,BE - Belgium,Small or middle sized town,18,The middle class of society,con patner e figli
311,Climate change,6.0,Yes,2,2,2,2,2,centro-dx,Woman,47,BE - Belgium,Small or middle sized town,19,The middle class of society,con patner e figli
312,Proliferation of nuclear weapons,7.0,No,2,4,2,2,2,centro-dx,Woman,22,BE - Belgium,Small or middle sized town,0,The middle class of society,con patner e figli
